User ID,Username,Avatar,Is Owner,Is Co-Owner,allow_pn,allow_sms,archived,avatar,mascot_item_type_id_leg_1,mascot_item_type_id_leg_10,mascot_item_type_id_leg_11,mascot_item_type_id_leg_12,mascot_item_type_id_leg_13,mascot_item_type_id_leg_14,mascot_item_type_id_leg_15,mascot_item_type_id_leg_16,mascot_item_type_id_leg_17,mascot_item_type_id_leg_18,mascot_item_type_id_leg_2,mascot_item_type_id_leg_3,mascot_item_type_id_leg_4,mascot_item_type_id_leg_5,mascot_item_type_id_leg_6,mascot_item_type_id_leg_7,mascot_item_type_id_leg_8,mascot_item_type_id_leg_9,mascot_message_emotion_leg_1,mascot_message_emotion_leg_8,mascot_message_leg_4,mention_pn,team_name,mascot_message_emotion_leg_2,mascot_message_emotion_leg_4,mascot_message_emotion_leg_9,mascot_message_leg_1,show_mascots,mascot_message_emotion_leg_6,mascot_message_emotion_leg_14,mascot_message_emotion_leg_15,mascot_message_emotion_leg_16,mascot_message_emotion_leg_10,team_name_update,join_voice_pn,transaction_free_agent,player_like_pn,transaction_commissioner,mascot_message,trade_block_pn,user_message_pn,player_nickname_update,transaction_waiver,transaction_trade,mascot_message_emotion_leg_7,setting_division_x,setting_fpts_x,setting_fpts_against_x,setting_fpts_against_decimal_x,setting_fpts_decimal_x,setting_losses_x,setting_ppts_x,setting_ppts_decimal_x,setting_ties_x,setting_total_moves_x,setting_waiver_budget_used_x,setting_waiver_position_x,setting_wins_x,Roster Spot 1_x,Roster Spot 2_x,Roster Spot 3_x,Roster Spot 4_x,Roster Spot 5_x,Roster Spot 6_x,Roster Spot 7_x,Roster Spot 8_x,Roster Spot 9_x,Roster Spot 10_x,Roster Spot 11_x,Roster Spot 12_x,Roster Spot 13_x,Roster Spot 14_x,Roster Spot 15_x,Roster Spot 16_x,Roster Spot 17_x,Roster Spot 18_x,Roster Spot 1_y,Roster Spot 2_y,Roster Spot 3_y,Roster Spot 4_y,Roster Spot 5_y,Roster Spot 6_y,Roster Spot 7_y,Roster Spot 8_y,Roster Spot 9_y,Roster Spot 10_y,Roster Spot 11_y,Roster Spot 12_y,Roster Spot 13_y,Roster Spot 14_y,Roster Spot 15_y,Roster Spot 16_y,Roster Spot 17_y,Roster Spot 18_y,setting_division_y,setting_fpts_y,setting_fpts_against_y,setting_fpts_against_decimal_y,setting_fpts_decimal_y,setting_losses_y,setting_ppts_y,setting_ppts_decimal_y,setting_ties_y,setting_total_moves_y,setting_waiver_budget_used_y,setting_waiver_position_y,setting_wins_y
378045567370280960,King0fTheJungle,3f02ec4641e29659fdc37bf5d034fb9b,True,False,on,on,off,https://sleepercdn.com/uploads/02e08d3d88f2e9ed11b21d89fd2782cf.jpg,chum,chum,chum,chum,chum,chum,chum,chum,chum,chum,chum,chum,chum,chum,chum,chum,chum,chum,taunting,taunting,,on,TingGoQuackFromWayBack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Justin Tucker - Height: 73, Weight: 191.0, Position: K","Mike Evans - Height: 77, Weight: 231.0, Position: WR","Amari Cooper - Height: 73, Weight: 211.0, Position: WR","Christian McCaffrey - Height: 71, Weight: 210.0, Position: RB","Matthew Stafford - Height: 75, Weight: 214.0, Position: QB","Austin Ekeler - Height: 69, Weight: 200.0, Position: RB","Josh Allen - Height: 77, Weight: 237.0, Position: QB","Cedrick Wilson - Height: 74, Weight: 197.0, Position: WR","Diontae Johnson - Height: 70, Weight: 183.0, Position: WR","Josh Oliver - Height: 77, Weight: 259.0, Position: TE","Ja'Marr Chase - Height: 72, Weight: 205.0, Position: WR","Rhamondre Stevenson - Height: 72, Weight: 227.0, Position: RB","Wan'Dale Robinson - Height: 68, Weight: 185.0, Position: WR","Zamir White - Height: 72, Weight: 215.0, Position: RB","Jameson Williams - Height: 73, Weight: 180.0, Position: WR","Tucker Kraft - Height: 77, Weight: 259.0, Position: TE","Keaton Mitchell - Height: 68, Weight: 191.0, Position: RB","Denver Broncos - Height: nan, Weight: nan, Position: DEF",1,1980,1894,72,68,5,2198,54,0,0,120,11,9
378054158659657728,DaTingGoSkrrup,0f62b6ab3741db774d20f2c7c2fab6b5,False,False,on,,,,nyan-cat,nyan-cat,nyan-cat,nyan-cat,nyan-cat,nyan-cat,nyan-cat,nyan-cat,nyan-cat,nyan-cat,nyan-cat,nyan-cat,nyan-cat,nyan-cat,nyan-cat,nyan-cat,nyan-cat,nyan-cat,idle,dancing,gg,on,In Memory Of Dawson,dancing,idle,dancing,"ggs, sir",on,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adam Thielen - Height: 74, Weight: 195.0, Position: WR","Joe Flacco - Height: 78, Weight: 230.0, Position: QB","Davante Adams - Height: 73, Weight: 215.0, Position: WR","Darren Waller - Height: 78, Weight: 238.0, Position: TE","Derrick Henry - Height: 74, Weight: 247.0, Position: RB","Michael Thomas - Height: 75, Weight: 212.0, Position: WR","Curtis Samuel - Height: 71, Weight: 195.0, Position: WR","Jake Elliott - Height: 69, Weight: 167.0, Position: K","Tee Higgins - Height: 76, Weight: 220.0, Position: WR","Jordan Love - Height: 76, Weight: 219.0, Position: QB","DeVonta Smith - Height: 72, Weight: 170.0, Position: WR","Ty Chandler - Height: 71, Weight: 204.0, Position: RB","Tyjae Spears - Height: 71, Weight: 195.0, Position: RB","Bijan Robinson - Height: 71, Weight: 215.0, Position: RB","Aaron Rodgers - Height: 74, Weight: 223.0, Position: QB","Jordan Addison - Height: 71, Weight: 175.0, Position: WR","Dallas Cowboys - Height: nan, Weight: nan, Position: DEF",,1,1749,1845,68,48,7,1919,68,0,0,120,5,7
378055347757146112,SJMcBuckets,f2574ccf80df444323262df46a38e7ba,False,False,on,,,https://sleepercdn.com/uploads/0b8de0db708884d52e4febc483b00a67.jpg,ref,cheerleader-red,cheerleader-red,cheerleader-red,cheerleader-red,cheerleader-red,cheerleader-red,cheerleader-red,cheerleader-red,cheerleader-red,ref,ref,chum,chum,cheerleader-red,cheerleader-red,cheerleader-red,cheerleader-red,idle,,,on,Backʞɔɒઘ,victory,idle,,,,taunting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cairo Santos - Height: 68, Weight: 175.0, Position: K","Demarcus Robinson - Height: 73, Weight: 202.0, Position: WR","Joe Mixon - Height: 73, Weight: 220.0, Position: RB","Chris Godwin - Height: 73, Weight: 209.0, Position: WR","Zay Jones - Height: 74, Weight: 200.0, Position: WR","Courtland Sutton - Height: 76, Weight: 216.0, Position: WR","A.J. Brown - Height: 73, Weight: 226.0, Position: WR","Gardner Minshew - Height: 73, Weight: 225.0, Position: QB","Jalen Hurts - Height: 73, Weight: 223.0, Position: QB","Antonio Gibson - Height: 72, Weight: 228.0, Position: RB","Nico Collins - Height: 76, Weight: 222.0, Position: WR","Kyren Williams - Height: 69, Weight: 202.0, Position: RB","Brian Robinson - Height: 73, Weight: 228.0, Position: RB","Chigoziem Okonkwo - Height: 75, Weight: 238.0, Position: TE","Chase Brown - Height: 70, Weight: 210.0, Position: RB","Las Vegas Raiders - Height: nan, Weight: nan, Position: DEF",,,2,1944,1641,99,36,3,2123,38,0,0,120,10,11
378230378940497920,OUGrizzlies,1db87ea3158580a6b5237252a50a77d4,False,False,on,,on,https://sleepercdn.com/uploads/8b89fe0cca848a3e3440f9fc0f70bd4b.jpg,gold-rush,doge,doge,doge,doge,doge,doge,doge,doge,doge,gold-rush,gold-rush,doge,doge,doge,doge,doge,doge,victory,,,on,“Nothing ever goes right”,,victory,,,,,dancing,victory,victory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dalton Kincaid - Height: 76, Weight: 240.0, Position: TE","David Njoku - Height: 76, Weight: 246.0, Position: TE","Lamar Jackson - Height: 74, Weight: 205.0, Position: QB","Calvin Ridley - Height: 73, Weight: 190.0, Position: WR","Jason Sanders - Height: 71, Weight: 195.0, Position: K","Michael Pittman - Height: 76, Weight: 223.0, Position: WR","Travis Etienne - Height: 70, Weight: 215.0, Position: RB","Romeo Doubs - Height: 74, Weight: 204.0, Position: WR","James Cook - Height: 71, Weight: 190.0, Position: RB","Jaylen Warren - Height: 68, Weight: 215.0, Position: RB","Dontayvion Wicks - Height: 73, Weight: 206.0, Position: WR","Josh Downs - Height: 69, Weight: 171.0, Position: WR","Zay Flowers - Height: 69, Weight: 175.0, Position: WR","Indianapolis Colts - Height: nan, Weight: nan, Position: DEF","Jacksonville Jaguars - Height: nan, Weight: nan, Position: DEF",,,,2,1735,1670,64,84,6,1990,84,0,0,104,8,8
378278762493677568,Msurules21,1d538540976713a2a93c687c112b5c70,False,False,on,,,,,,,,,,,,,,,,,,,,,,,,,on,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Geno Smith - Height: 75, Weight: 221.0, Position: QB","DeAndre Hopkins - Height: 73, Weight: 212.0, Position: WR","Deshaun Watson - Height: 75, Weight: 223.0, Position: QB","Kareem Hunt - Height: 71, Weight: 216.0, Position: RB","Saquon Barkley - Height: 72, Weight: 233.0, Position: RB","Kyler Murray - Height: 70, Weight: 207.0, Position: QB","Terry McLaurin - Height: 72, Weight: 210.0, Position: WR","J.K. Dobbins - Height: 70, Weight: 215.0, Position: RB","Cole Kmet - Height: 78, Weight: 260.0, Position: TE","Gabe Davis - Height: 74, Weight: 225.0, Position: WR","Tyler Bass - Height: 70, Weight: 183.0, Position: K","Amon-Ra St. Brown - Height: 72, Weight: 202.0, Position: WR","Pat Freiermuth - Height: 77, Weight: 258.0, Position: TE","Rondale Moore - Height: 67, Weight: 181.0, Position: WR","Khalil Herbert - Height: 69, Weight: 212.0, Position: RB","Isiah Pacheco - Height: 70, Weight: 216.0, Position: RB","Cincinnati Bengals - Height: nan, Weight: nan, Position: DEF",,2,1691,1739,2,58,9,1843,26,0,0,20,6,5
378280382677803008,HDSJ,fab28dd85f6a2e7e4c0bb4ec600a59ad,False,False,on,,off,https://sleepercdn.com/uploads/2f4ac93adc3b3bacc149cb8ef4834d11.jpg,trash,trash,trash,trash,trash,trash,trash,trash,trash,,trash,trash,trash,trash,trash,trash,trash,trash,idle,,,on,HAYSTACK😤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brandon Aubrey - Height: 75, Weight: 218.0, Position: K","Keenan Allen - Height: 74, Weight: 211.0, Position: WR","Derek Carr - Height: 75, Weight: 215.0, Position: QB","Brandin Cooks - Height: 70, Weight: 189.0, Position: WR","Stefon Diggs - Height: 72, Weight: 191.0, Position: WR","James Conner - Height: 73, Weight: 233.0, Position: RB","Deebo Samuel - Height: 72, Weight: 215.0, Position: WR","Devin Singletary - Height: 67, Weight: 203.0, Position: RB","CeeDee Lamb - Height: 74, Weight: 200.0, Position: WR","Justin Herbert - Height: 78, Weight: 236.0, Position: QB","Zack Moss - Height: 70, Weight: 220.0, Position: RB","K.J. Osborn - Height: 72, Weight: 200.0, Position: WR","Jake Ferguson - Height: 77, Weight: 244.0, Position: TE","Jahmyr Gibbs - Height: 69, Weight: 200.0, Position: RB","DeMario Douglas - Height: 68, Weight: 192.0, Position: WR","Quentin Johnston - Height: 76, Weight: 215.0, Position: WR","Houston Texans - Height: nan, Weight: nan, Position: DEF","Philadelphia Eagles - Height: nan, Weight: nan, Position: DEF",1,1973,1747,36,66,5,2248,36,0,0,120,12,9
378284225432018944,gdkasper,46b18cca4fa093f57fc1fe062652aad3,False,False,off,on,,https://sleepercdn.com/uploads/8f4290f048f2f9c3d80b0842d7f2230e.jpg,panpan,panpan,panpan,panpan,panpan,panpan,panpan,panpan,panpan,panpan,panpan,panpan,panpan,panpan,panpan,panpan,panpan,panpan,idle,,,on, Storm Coopers,,,,,,,,,,dancing,off,off,off,on,off,off,off,on,off,off,off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Odell Beckham - Height: 71, Weight: 200.0, Position: WR","Ezekiel Elliott - Height: 72, Weight: 228.0, Position: RB","Dak Prescott - Height: 74, Weight: 238.0, Position: QB","Cooper Kupp - Height: 74, Weight: 207.0, Position: WR","Aaron Jones - Height: 69, Weight: 208.0, Position: RB","Christian Kirk - Height: 71, Weight: 200.0, Position: WR","Dalton Schultz - Height: 77, Weight: 242.0, Position: TE","Michael Badgley - Height: 70, Weight: 188.0, Position: K","Alexander Mattison - Height: 71, Weight: 220.0, Position: RB","Matt Gay - Height: 72, Weight: 232.0, Position: K","Clyde Edwards-Helaire - Height: 67, Weight: 207.0, Position: RB","Trevor Lawrence - Height: 78, Weight: 220.0, Position: QB","Joshua Palmer - Height: 73, Weight: 210.0, Position: WR","Rachaad White - Height: 72, Weight: 214.0, Position: RB","Chris Olave - Height: 72, Weight: 187.0, Position: WR","Buffalo Bills - Height: nan, Weight: nan, Position: DEF",,,2,1704,1805,30,66,8,1854,14,0,0,120,7,6
378292389485424640,gingermagic,68b7145b29ee4fe24a38f50d075bcdb6,False,False,on,,,,,doge,doge,doge,doge,doge,doge,doge,doge,doge,,,,,,doge,doge,doge,,,,on,Liqour and Goff medicine,,,,,,,,,,,off,off,off,off,off,off,off,off,off,off,off,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rashee Rice - Height: 73, Weight: 204.0, Position: WR","Sam LaPorta - Height: 75, Weight: 245.0, Position: TE","Brandon McManus - Height: 75, Weight: 201.0, Position: K","Tyler Lockett - Height: 70, Weight: 182.0, Position: WR","Jared Goff - Height: 76, Weight: 217.0, Position: QB","Tyreek Hill - Height: 70, Weight: 191.0, Position: WR","Evan Engram - Height: 75, Weight: 240.0, Position: TE","Noah Brown - Height: 74, Weight: 225.0, Position: WR","Brandon Aiyuk - Height: 72, Weight: 200.0, Position: WR","Jonathan Taylor - Height: 70, Weight: 226.0, Position: RB","AJ Dillon - Height: 72, Weight: 247.0, Position: RB","Najee Harris - Height: 73, Weight: 242.0, Position: RB","Justin Fields - Height: 75, Weight: 227.0, Position: QB","Christian Watson - Height: 76, Weight: 208.0, Position: WR","Kansas City Chiefs - Height: nan, Weight: nan, Position: DEF",,,,2,1755,1932,76,90,9,1982,90,0,0,49,1,5
378604601940914176,BigMcnugget,dd90c34d801389d757a38f527fdb54dc,False,False,on,off,,https://sleepercdn.com/uploads/014e622a43dff64a6f24b0c063fd1034.jpg,goat,goat,goat,goat,goat,goat,goat,goat,goat,goat,goat,goat,goat,goat,goat,goat,goat,goat,idle,,,on,Jones bbq foot massage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Logan Thomas - Height: 78, Weight: 250.0, Position: TE","Harrison Butker - Height: 76, Weight: 205.0, Position: K","Baker Mayfield - Height: 73, Weight: 215.0, Position: QB","DJ Moore - Height: 71, Weight: 210.0, Position: WR","Gus Edwards - Height: 73, Weight: 238.0, Position: RB","Hollywood Brown - Height: 69, Weight: 180.0, Position: WR","Josh Jacobs - Height: 70, Weight: 223.0, Position: RB","Jakobi Meyers - Height: 74, Weight: 200.0, Position: WR","Tony Pollard - Height: 72, Weight: 209.0, Position: RB","Drake London - Height: 76, Weight: 213.0, Position: WR","Trey McBride - Height: 76, Weight: 246.0, Position: TE","Isaiah Likely - Height: 76, Weight: 247.0, Position: TE","Sam Howell - Height: 73, Weight: 220.0, Position: QB","De'Von Achane - Height: 69, Weight: 188.0, Position: RB","Baltimore Ravens - Height: nan, Weight: nan, Position: DEF",,,,1,1860,1849,94,28,9,2015,98,0,0,68,4,5
378674834558824448,sjredwing33,28c10cc8e49e9adaf274d5a0dcdbd767,False,False,on,,,https://sleepercdn.com/uploads/dc02a98684cca2e583dad82ff310c10c.jpg,,,,,,,,,,,,,,,,,,,,,,on,NoseLongLikeGardenHose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Raheem Mostert - Height: 70, Weight: 205.0, Position: RB","Tyler Boyd - Height: 74, Weight: 203.0, Position: WR","Patrick Mahomes - Height: 74, Weight: 225.0, Position: QB","Graham Gano - Height: 74, Weight: 202.0, Position: K","Daniel Carlson - Height: 77, Weight: 215.0, Position: K","DK Metcalf - Height: 76, Weight: 235.0, Position: WR","David Montgomery - Height: 71, Weight: 224.0, Position: RB","Jerry Jeudy - Height: 73, Weight: 195.0, Position: WR","Kyle Pitts - Height: 78, Weight: 246.0, Position: TE","Cade Otton - Height: 77, Weight: 247.0, Position: TE","Jahan Dotson - Height: 71, Weight: 182.0, Position: WR","Tyler Allgeier - Height: 71, Weight: 220.0, Position: RB","Treylon Burks - Height: 74, Weight: 225.0, Position: WR","Cameron Dicker - Height: 73, Weight: 216.0, Position: K","Anthony Richardson - Height: 76, Weight: 244.0, Position: QB","Puka Nacua - Height: 74, Weight: 212.0, Position: WR","San Francisco 49ers - Height: nan, Weight: nan, Position: DEF",,1,1521,1806,88,6,9,1649,44,0,0,35,2,5
