injury_status,practice_description,team,last_name,birth_country,search_full_name,sport,gsis_id,high_school,depth_chart_position,college,first_name,active,birth_state,news_updated,full_name,rotoworld_id,age,weight,swish_id,depth_chart_order,status,competitions,team_abbr,injury_body_part,hashtag,search_last_name,height,number,player_id,search_first_name,birth_city,opta_id,injury_start_date,pandascore_id,sportradar_id,birth_date,fantasy_data_id,yahoo_id,team_changed_at,espn_id,years_exp,fantasy_positions,rotowire_id,search_rank,position,practice_participation,stats_id,metadata,oddsjam_id,injury_notes
,,,Richardson,,ellisrichardson,nfl, 00-0035057,Douglas County,,Georgia Southern,Ellis,True,,,Ellis Richardson,,26.0,245,,,Active,[],,,#ellisrichardson-NFL-FA-45,richardson,75,45.0,6462,ellis,,,,,efd6f3c3-b752-4bc2-a4f2-b776c15c3ec0,1995-02-12,21427.0,32262.0,,3926590.0,3.0,['TE'],14134.0,9999999.0,TE,,887183.0,{'channel_id': '1116853254748110848'},,
,,,Amoah,,nickamoah,nfl,,Davis (CA),,UC Davis,Nick,True,,,Nick Amoah,,,306,1052592.0,,Active,[],,,#nickamoah-NFL-FA-63,amoah,74,63.0,11255,nick,,,,,55510c00-ead2-11ed-999e-03b49558b5db,,,,,,0.0,['OL'],,9999999.0,OL,,,{'channel_id': '1116852669114220544'},,
,,,Morrison,,malkelmmorrison,nfl,,Iona Prep (NY),,Army,Malkelm,True,,1653351613345.0,Malkelm Morrison,,,186,1131137.0,,Injured Reserve,[],,,#malkelmmorrison-NFL-FA-0,morrison,70,0.0,8842,malkelm,,,,,3c804b10-d3a8-11ec-96a0-c3471a31202c,,,,,,1.0,['DB'],16558.0,9999999.0,CB,,,"{'channel_id': '1116853537213513728', 'years_exp_shift': '1'}",,
,,,Tucker,,carltucker,nfl,,Hough (NC),,Alabama,Carl,True,,1631568053348.0,Carl Tucker,,24.0,250,866047.0,,Active,[],,,#carltucker-NFL-FA-0,tucker,74,0.0,7926,carl,,,,,fde9c52b-0e2f-46e7-9b0e-9ada612ecec3,1997-02-06,,,,,1.0,['TE'],15412.0,426.0,TE,,,{'channel_id': '1116853436709601280'},,
,,NYJ,Mosley,,cjmosley,nfl,00-0031296,Theodore (AL),MLB,Alabama,C.J.,True,,1710430803789.0,C.J. Mosley,9631.0,32.0,231,557173.0,1.0,Active,[],,,#cjmosley-NFL-NYJ-57,mosley,74,57.0,1875,cj,,,,,bf5f7564-349a-439a-a8a9-4ddb10448a8d,1992-06-19,16093.0,27545.0,,16720.0,10.0,['LB'],9380.0,216.0,LB,,,"{'channel_id': '1113708745461886977', 'rookie_year': '2014'}",97CDFFA7FA4D,
,,IND,Womack,,samuelwomack,nfl,,East English Village Prep (MI),LCB,Toledo,Samuel,True,,1700784628441.0,Samuel Womack,,25.0,189,1085180.0,2.0,Active,[],,,#samuelwomack-NFL-IND-33,womack,70,33.0,8478,samuel,,,,,75c1ed8d-4f05-43c1-b398-f212984b6b8b,1999-07-07,,,,,2.0,['DB'],16274.0,9999999.0,CB,,,"{'channel_id': '1113708876978483201', 'rookie_year': '2022'}",0823DA35726D,
,,,Parker,,ronparker,nfl,00-0028445,Beaufort (SC),,Newberry,Ron,False,,1578330037366.0,Ron Parker,6811.0,34.0,206,,,Injured Reserve,[],,,#ronparker-NFL-FA-0,parker,72,0.0,995,ron,,,,,e9a0297a-0b34-4c55-af1f-ca113d672195,1987-08-17,13476.0,25090.0,,14297.0,11.0,['DB'],7817.0,9999999.0,FS,,512802.0,,,
,,TB,Bell,,leveonbell,nfl,00-0030496,Groveport Madison (OH),,Michigan State,Le'Veon,True,,1707165960874.0,Le'Veon Bell,8390.0,29.0,225,543654.0,,Active,[],,,#leveonbell-NFL-TB-6,bell,73,6.0,1408,leveon,,,,,7735c02a-ee75-447c-86e6-6c2168500050,1992-02-18,14967.0,26671.0,,15825.0,9.0,['RB'],8617.0,235.0,RB,,543654.0,{'channel_id': '1116852736248250368'},,
,,,Seybert,,mattseybert,nfl,,St. Francis (MI),,Michigan State,Matt,True,,1629836727949.0,Matt Seybert,,24.0,252,,,Active,[],,,#mattseybert-NFL-FA-41,seybert,76,41.0,8074,matt,,,,,22ec09a7-6001-43b7-adf9-cf0df941ad0e,1997-05-02,,,,,1.0,['TE'],15785.0,,TE,,,{'channel_id': '1116853462399713280'},,
,,,Gay,,williamgay,nfl,00-0025557,James R. Rickards (FL),,Louisville,William,False,,1534088707204.0,William Gay,4319.0,35.0,187,,,Inactive,[],,,#williamgay-NFL-FA-25,gay,"5'10""",25.0,156,william,,,,,a2907a39-139b-483f-8369-e278c26a6951,1985-01-01,4122.0,8424.0,,10613.0,13.0,['DB'],6211.0,9999999.0,CB,,229499.0,,,
